part,slide_index,slide_title,block_index,first_line_preview
Part II,35,Survival example: peakVO2,1,## partial effect for age
Part II,36,Survival example: peakVO2,1,## partial effect for age
Part II,37,Survival example: peakVO2,1,## partial effect of peak V02 on mortality
Part II,37,Survival example: peakVO2,2,## partial effect of peak V02 on survival
Part II,37,Survival example: peakVO2,3,## compare the two plots
Part III,5,Different VIMP in the package,1,"importance = c(""anti"", ""permute"", ""random"")"
Part III,6,Obtaining VIMP using the package,1,"rfsrc(mpg~., importance=""permute"")$importance"
Part III,6,Obtaining VIMP using the package,2,"predict(obj, importance=""permute"")$importance"
Part III,6,Obtaining VIMP using the package,3,"vimp(obj, importance=""permute"")"
Part III,6,Obtaining VIMP using the package,4,## paired permutation vimp
Part III,7,General call to vimp,1,## VIMP for all variables
Part III,7,General call to vimp,2,## joint VIMP
Part III,10,Confidence intervals for VIMP,1,## example using peakVO2
Part III,17,Minimal depth illustration using peakVO2,1,"md <- max.subtree(o)$order[, 1]"
Part III,18,Minimal depth illustration using peakVO2,1,"md <- max.subtree(o)$order[, 1]"
Part III,18,Minimal depth illustration using peakVO2,2,## guide random feature selection with number of times variable splits
Part III,20,VarPro,1,"summary(peakVO2[,c(""bun"",""interval"", ""peak.vo2"")])"
Part III,24,VarPro canonical illustration,1,## varpro canonical call
Part III,24,VarPro canonical illustration,2,importance(o)
Part III,25,VarPro canonical illustration,1,## cv.varpro canonical call
Part III,25,VarPro canonical illustration,2,o.cv
Part III,26,VarPro canonical illustration,1,"o <- rfsrc(Surv(ttodead, died)~., peakVO2, importance=""permute"")"
Part III,26,VarPro canonical illustration,2,"o.cv <- cv.varpro(Surv(ttodead, died)~., peakVO2)"
Part III,27,VarPro canonical illustration,1,"o <- rfsrc(Surv(ttodead, died)~., peakVO2, importance=""permute"")"
Part III,27,VarPro canonical illustration,2,"o.cv <- cv.varpro(Surv(ttodead, died)~., peakVO2)"
Part III,28,VarPro high-dimensional example,1,"data(vdv, package = ""randomForestSRC"")"
Part III,29,VarPro high-dimensional example,1,## van de Vijver Microarray Breast Cancer
Part III,30,VarPro high-dimensional example,1,"data(vdv, package = ""randomForestSRC"")"
Part III,30,VarPro high-dimensional example,2,$lasso
Part III,32,UVarPro illustration with Iowa housing,1,## load the data
Part III,33,UVarPro \(s\)-dependence table,1,## lasso beta values
Part III,34,UVarPro \(s\)-dependence graph,1,##  beta <- get.beta.entropy(o)
Part IV,10,Classification example: Glioma,1,"data(glioma, package = ""varPro"")"
Part IV,11,Imbalanced classification: Glioma,1,## standard RF classifier
Part IV,12,Imbalanced classification: Glioma,1,## RFQ classifier
Part IV,14,Imbalanced classification: Glioma,1,## BRF classifier
Part IV,15,Imbalanced classification: Glioma,1,## BRF - brute force
Part IV,16,Imbalanced classification: Glioma,1,## gmean variable importance with ci
Part IV,20,Competing risk example: PBC Mayo Clinic,1,"data(pbc, package = ""survival"")"
Part IV,21,Competing risk example: PBC Mayo Clinic,1,## canonical example: default Gray's splitting-rule
Part IV,22,event specific and non-event specific variable selection,1,## canonical example: default Gray's splitting-rule
Part IV,23,event specific and non-event specific variable selection,1,## canonical example: default Gray's splitting-rule
Part IV,23,event specific and non-event specific variable selection,2,md  vimp1   vimp2
Part IV,24,CIF stratified by edema,1,## cumulative incidence function (CIF) for transplant and dead stratified by edema
Part IV,25,The run.rfsrc function for an overview,1,## tip!!! perform the same analysis as above with one line
Part IV,27,Partial plot,1,pbc.cr$time <- pbc.cr$time/365
Part IV,28,Partial plot,1,## target = an integer value between 1 and J indicating the event of interest
Part IV,28,Partial plot,2,## target = an integer value between 1 and J indicating the event of interest
Part IV,30,Multivariate example: Nutrigenomic Study,1,"data(nutrigenomic, package = ""randomForestSRC"")"
Part IV,30,Multivariate example: Nutrigenomic Study,2,## diet and genotype are factors
Part IV,31,Multivariate example: Nutrigenomic Study,1,## parse into y and x data
Part IV,31,Multivariate example: Nutrigenomic Study,2,print(o)
Part IV,32,Multivariate example: Nutrigenomic Study,1,## acquire the error rate for each of the 21-coordinates
Part IV,32,Multivariate example: Nutrigenomic Study,2,serr
Part IV,32,Multivariate example: Nutrigenomic Study,3,## acquire standardized VIMP
Part IV,32,Multivariate example: Nutrigenomic Study,4,head(svimp)
Part IV,34,Split rules,1,"o <- rfsrc(get.mv.formula(colnames(ydta)),"
Part IV,35,Split rules,1,"o2 <- rfsrc(get.mv.formula(colnames(ydta)),"
Part IV,36,Split rules,1,## compare standardized VIMP for top 25 variables
Part IV,36,Split rules,2,"print(100 * imp[order(imp[,""mahalanobis""], decreasing = TRUE)[1:25], ])"
Part IV,37,The run.rfsrc function for an overview,1,library(randomForestSRC.run)
Part IV,42,OTFI,1,"data(pbc, package = ""randomForestSRC"")"
Part IV,42,OTFI,2,"data(pbc, package = ""randomForestSRC"")"
Part IV,43,missForest and mForest,1,"data(pbc, package = ""randomForestSRC"")"
Part IV,43,missForest and mForest,2,"data(housing, package = ""randomForestSRC"")"
